brand,model# ,price,Labour,from,to
Caesarstone ,Caesarstone (18 Slabs), , , , 
Caesarstone ,1141 Pure White,2245,36,92.125,125.8
Caesarstone ,4001 Fresh Concrete,2245,36,92.125,125.8
Caesarstone ,4004 Raw Concrete,2245,36,92.125,125.8
Caesarstone ,4033 Rugged Concrete,2690,36,103.25,143.6
Caesarstone ,4044 Airy Concrete,2690,36,103.25,143.6
Caesarstone ,5000 London Grey,2690,36,103.25,143.6
Caesarstone ,5031 Statuario Maximus,4135,36,139.375,201.4
Caesarstone ,5100 Vanilla Noir,2690,36,103.25,143.6
Caesarstone ,5110 Alpine Mist,2690,36,103.25,143.6
Caesarstone ,5111 Statuario Nuvo,2690,36,103.25,143.6
Caesarstone ,5112 Aterra Blanca,2245,36,92.125,125.8
Caesarstone ,5131 Calacatta Nuvo,4135,36,139.375,201.4
Caesarstone ,5133 Symphony Grey,2245,36,92.125,125.8
Caesarstone ,5141 Frosty Carrina,2690,36,103.25,143.6
Caesarstone ,5143 White Attica,2690,36,103.25,143.6
Caesarstone ,5151 Empira White,4135,36,139.375,201.4
Caesarstone ,5810 Black Tempal,2690,36,103.25,143.6
Caesarstone ,6134 Georgian Bluffs,2245,36,92.125,125.8
Kasa Quartz ,,,36,36,36
Kasa Quartz ,K8802,500,36,48.5,56
Kasa Quartz ,K8803,470,36,47.75,54.8
Kasa Quartz ,K8813,500,36,48.5,56
Kasa Quartz ,K8825,560,36,50,58.4
Kasa Quartz ,K8837,570,36,50.25,58.8
Kasa Quartz ,K9916,560,36,50,58.4
Kasa Quartz ,KSL6010 - Glacier Gold,,36,36,36
Kasa Quartz ,KSL6011 - Alabaster Vein,850,36,57.25,70
Kasa Quartz ,KSL8601 - Obsidian Wave,, , , 
Kasa Quartz ,KSL8602 - Silver Mist,, , , 
Kasa Quartz ,KSV1101 - Calacatta Misty Grey,680,36,53,63.2
Kasa Quartz ,KSV1102 - Calacatta Misty Gold,680,36,53,63.2
Kasa Quartz ,KSV1105 - Calacatta Silk,, , , 
Kasa Quartz ,KSV5101 - Lightning Gold,640,36,52,61.6
Kasa Quartz ,KY063 - Bernini Oro,, , , 
Kasa Quartz ,KY066 - Taj Mahal Pre,650,36,52.25,62
Lucent Quartz ,,, , , 
Lucent Quartz ,Calacatta Vaticano Viola,, , , 
Lucent Quartz ,LQ2003 â€“ Sleek Cement,680,36,53,63.2
Lucent Quartz ,CIQ4111 â€“ Bianco Oro,580,36,50.5,59.2
Lucent Quartz ,CIQ4211 â€“ Bianco Carrara,580,36,50.5,59.2
Lucent Quartz ,Crystal Noir,, , , 
Lucent Quartz ,Infinity Blue,, , , 
Lucent Quartz ,Jade Onyx,, , , 
Lucent Quartz ,LQ4000 Pure Black,, , , 
Lucent Quartz ,LQ4004 Obsidian Gold,, , , 
Lucent Quartz ,LQ4007 Infinity White,, , , 
Lucent Quartz ,LQ4600 â€“ Arctic White,1080,36,63,79.2
Lucent Quartz ,LQ5131 â€“ Calacatta,780,36,55.5,67.2
Lucent Quartz ,LQ6754 â€“ Serenity Gold,1680,36,78,103.2
Lucent Quartz ,LQ6838 Black Canyon,, , , 
Lucent Quartz ,LQ7306 Precious Crystals,, , , 
Lucent Quartz ,LQ7701 Black Belvedere,,  , , 
Silestone ,,,,, 
Silestone ,Ariel,, , , 
Silestone ,Blanco Zeus,, , , 
Silestone ,Camden,, , , 
Silestone ,Charcoal Soapstone,1941,36,84.525,113.64
Silestone ,Desert Silver,1941,36,84.525,113.64
Silestone ,Eternal Calacatta Gold,3382,36,120.55,171.28
Silestone ,Eternal Statuario,2449,36,97.225,133.96
Silestone ,Ethereal Glow,3382,36,120.55,171.28
Silestone ,Kensho,, , , 
Silestone ,Lagoon,1498,36,73.45,95.92
Silestone ,Lusso,1941,36,84.525,113.64
Silestone ,Miami White,1498,36,73.45,95.92
Silestone ,Pearl Jasmine,1941,36,84.525,113.64
Silestone ,Serena,, , , 
Silestone ,White Arabesque,1941,36,84.525,113.64
TCE Stone ,,,,,
TCE Stone ,TCE 2001 Pure White,, , , 
TCE Stone ,TCE 2012 Speckled Cream,420,36,46.5,52.8
TCE Stone ,TCE 4019,, , , 
TCE Stone ,TCE 4032 Calacatta Flow,650,36,52.25,62
TCE Stone ,TCE 4039 Golden Flow,750,36,54.75,66
TCE Stone ,TCE 4040 Arctic Flow,750,36,54.75,66
TCE Stone ,TCE 4052  Natural Cream,730,36,54.25,65.2
TCE Stone ,TCE 5018,, , , 
TCE Stone ,TCE 9001 Pure White,460,36,47.5,54.4
Kstone ,,,,,
Kstone ,K1052 Statuario Venato,1350,36,69.75,90
Kstone ,K1055 Pandora White,1350,36,69.75,90
Kstone ,K1056  Arabescato White,1350,36,69.75,90
Kstone ,K1066 Statuario Thunder,1350,36,69.75,90
Kstone ,K1069 Taj Mahal,1350,36,69.75,90
Kstone ,Y9020 White Fantasy,980,36,60.5,75.2
